,Name of Movie,Year of Release,Genre,Rating
399,Central do Brasil,1998,Drama            ,8.0
400,La leggenda del pianista sull'oceano,1998,"Drama, Music, Romance            ",8.0
401,"Crna macka, beli macor",1998,"Comedy, Crime, Romance            ",8.0
402,Sling Blade,1996,Drama            ,8.0
403,Secrets & Lies,1996,"Comedy, Drama            ",8.0
404,Twelve Monkeys,1995,"Mystery, Sci-Fi, Thriller            ",8.0
405,Dilwale Dulhania Le Jayenge,1995,"Drama, Romance            ",8.0
406,Chung Hing sam lam,1994,"Comedy, Crime, Drama            ",8.0
407,Andaz Apna Apna,1994,"Action, Comedy, Romance            ",8.0
408,Scent of a Woman,1992,Drama            ,8.0
409,Aladdin,1992,"Animation, Adventure, Comedy            ",8.0
410,JFK,1991,"Drama, History, Thriller            ",8.0
411,Beauty and the Beast,1991,"Animation, Family, Fantasy            ",8.0
412,Dances with Wolves,1990,"Adventure, Drama, Western            ",8.0
413,Rain Man,1988,Drama            ,8.0
414,Akira,1988,"Animation, Action, Drama            ",8.0
415,The Princess Bride,1987,"Adventure, Family, Fantasy            ",8.0
416,Der Himmel über Berlin,1987,"Drama, Fantasy, Romance            ",8.0
417,Au revoir les enfants,1987,"Drama, War            ",8.0
418,Tenkû no shiro Rapyuta,1986,"Animation, Adventure, Family            ",8.0
419,Kaze no tani no Naushika,1984,"Animation, Adventure, Sci-Fi            ",8.0
420,Nostalgia,1983,Drama            ,8.0
421,Pink Floyd: The Wall,1982,"Drama, Fantasy, Music            ",8.0
422,Fitzcarraldo,1982,"Adventure, Drama            ",8.0
423,Life of Brian,1979,Comedy            ,8.0
424,Being There,1979,"Comedy, Drama            ",8.0
425,Annie Hall,1977,"Comedy, Romance            ",8.0
426,Dog Day Afternoon,1975,"Biography, Crime, Drama            ",8.0
427,Zerkalo,1975,"Biography, Drama            ",8.0
428,Young Frankenstein,1974,Comedy            ,8.0
429,Papillon,1973,"Biography, Crime, Drama            ",8.0
430,Viskningar och rop,1972,Drama            ,8.0
431,Solaris,1972,"Drama, Mystery, Sci-Fi            ",8.0
432,Sleuth,1972,"Mystery, Thriller            ",8.0
433,The Last Picture Show,1971,"Drama, Romance            ",8.0
434,Fiddler on the Roof,1971,"Drama, Family, Musical            ",8.0
435,Butch Cassidy and the Sundance Kid,1969,"Biography, Crime, Drama            ",8.0
436,Rosemary's Baby,1968,"Drama, Horror            ",8.0
437,Planet of the Apes,1968,"Adventure, Sci-Fi            ",8.0
438,Le Samouraï,1967,"Crime, Drama            ",8.0
439,The Graduate,1967,"Comedy, Drama, Romance            ",8.0
